Issue Type;Summary;Description;Acceptance Criteria;Priority;Story Points;Labels;Component
Epic;Sprint 1 - Athlete360 Scouting360 Planning MVP;Livrer une demo end-to-end utilisable par le staff avec Athlete 360, Scouting 360, planning calendrier standard, permissions minimales.;Demo complete en moins de 7 minutes avec 3 roles distincts.;Highest;13;sport-cloud,sprint1,mvp;Core Platform
Story;T1 - Data setup initial squads athletes prospects;Creer donnees de base: 6 squads, 10 athletes, 10 prospects, 15 affectations historiques.;6 squads crees; 10 athletes crees; 10 prospects crees; 15 SquadAssignment crees avec dates coherentes.;High;5;sport-cloud,sprint1,data-seed;Data
Story;T2 - Athlete 360 page layout MVP;Configurer page Athlete avec sections identite, current squad, statut, related lists utiles.;Layout Athlete publie; related list SquadAssignments visible; related list ExternalAthleteData visible en lecture.;High;3;sport-cloud,sprint1,athlete360;Athlete 360
Story;T3 - Scouting 360 page layout MVP;Configurer page Prospect avec statut pipeline, position, club actuel, lien conversion, related reports.;Layout Prospect publie; related list ScoutingReports visible; champ ConvertedAthlete visible.;High;3;sport-cloud,sprint1,scouting360;Scouting 360
Story;T4 - Planning synchro vers calendrier standard;Verifier la synchro PlanningEvent vers Event et valider l affichage calendrier staff.;Create/update/delete sur PlanningEvent cree/met a jour/supprime Event lie.;High;5;sport-cloud,sprint1,planning,calendar;Planning
Story;T5 - Validation rules dates MVP;Verifier et corriger les validations EndDate >= StartDate sur objets dates critiques.;Aucune creation invalide possible sur SquadAssignment, PlanningEvent, Booking, SchoolAbsence.;High;2;sport-cloud,sprint1,quality,validation;Quality
Story;T6 - Permission sets MVP;Creer permission sets minimaux par role et appliquer principe moindre privilege.;Permission sets SportCloud_Admin, Coach_Read, Scout_Editor, Recruiter_Editor, Planning_Editor disponibles et testes.;Highest;5;sport-cloud,sprint1,security,permissions;Security
Story;T7 - Flow conversion Prospect vers Athlete;Implementer flow guide de conversion recrutement vers joueur club.;Depuis Prospect, action conversion cree Athlete et renseigne ConvertedAthlete; statut passe a Converted.;Highest;5;sport-cloud,sprint1,automation,conversion;Scouting 360
Story;T8 - Script UAT demo Sprint 1;Ecrire script de demo reproductible par equipe projet et stakeholders.;Script de 8 etapes valide avec resultat attendu pour chaque etape.;Medium;2;sport-cloud,sprint1,uat,demo;UAT
Task;T9 - Test fonctionnel role Coach;Executer tests de parcours coach sur Athlete et Planning.;Coach peut lire athlete, voir calendrier, ne peut pas editer medical sensible.;Medium;2;sport-cloud,sprint1,test;QA
Task;T10 - Test fonctionnel role Scout;Executer tests de parcours scout sur Scouting 360.;Scout peut creer prospect et rapport, ne peut pas convertir sans droit recruteur.;Medium;2;sport-cloud,sprint1,test;QA
Task;T11 - Test fonctionnel role Recruiter;Executer tests conversion prospect vers athlete.;Recruiter peut convertir prospect, lien conversion present, historique intact.;Medium;2;sport-cloud,sprint1,test;QA
Task;T12 - Demo readiness checklist;Valider donnees, permissions, ecrans et automation avant presentation.;Checklist complete a 100 pour go demo.;High;1;sport-cloud,sprint1,release-readiness;Release
